district,date,period
Петриковский,2017-02-17,с 00.00 до 24.00
Петриковский,2017-03-17,с 00.00 до 24.00
Петриковский,2017-04-07,с 00.00 до 24.00
Петриковский,2017-05-15,с 00.00 до 24.00
Петриковский,2017-06-25,с 00.00 до 24.00
Петриковский,2017-07-21,с 00.00 до 24.00
Петриковский,2017-08-18,с 00.00 до 24.00
Петриковский,2017-09-15,с 00.00 до 24.00
Петриковский,2017-10-14,с 00.00 до 24.00
Петриковский,2017-11-17,с 00.00 до 24.00
Петриковский,2017-12-15,с 00.00 до 24.00
Круглянский,2017-06-09,с 00.00 по 24.00
Круглянский,2017-06-10,с 00.00 по 24.00
Круглянский,2017-02-04,с 00.00 по 24.00
Круглянский,2017-09-01,с 00.00 по 24.00
Осиповичский,2017-02-16,с 00.00 по 24.00
Осиповичский,2017-03-16,с 00.00 по 24.00
Осиповичский,2017-04-20,с 00.00 по 24.00
Осиповичский,2017-05-31,с 00.00 по 24.00
Осиповичский,2017-06-10,с 00.00 по 24.00
Осиповичский,2017-06-11,с 00.00 по 24.00
Осиповичский,2017-09-01,с 00.00 по 24.00
Осиповичский,2017-10-19,с 00.00 по 24.00
Осиповичский,2017-11-16,с 00.00 по 24.00
Осиповичский,2017-12-21,с 00.00 по 24.00
Глусский,2017-02-16,с 00.00 до 24.00
Глусский,2017-05-18,с 00.00 до 24.00
Глусский,2017-08-17,с 00.00 до 24.00
Глусский,2017-11-16,с 00.00 до 24.00
Дрибинский,2017-03-31,с 00.00 по 24.00
Дрибинский,2017-09-01,с 00.00 по 24.00
Дрибинский,2017-12-15,с 00.00 по 24.00
Бобруйский,2017-03-16,с 00.00 по 24.00
Бобруйский,2017-09-01,с 00.00 по 24.00
Бобруйский,2017-11-16,с 00.00 по 24.00
Лиозненский,2017-02-11,с 00.00 до 24.00
Лиозненский,2017-06-10,с 00.00 до 24.00
Лиозненский,2017-09-01,с 00.00 до 24.00
Лиозненский,2017-11-07,с 00.00 до 24.00
