district,date,period
Петриковский,2017-02-17,с 00.00 до 24.00
Петриковский,2017-03-17,с 00.00 до 24.00
Петриковский,2017-04-07,с 00.00 до 24.00
Петриковский,2017-05-15,с 00.00 до 24.00
Петриковский,2017-06-25,с 00.00 до 24.00
Петриковский,2017-07-21,с 00.00 до 24.00
Петриковский,2017-08-18,с 00.00 до 24.00
Петриковский,2017-09-15,с 00.00 до 24.00
Петриковский,2017-10-14,с 00.00 до 24.00
Петриковский,2017-11-17,с 00.00 до 24.00
Петриковский,2017-12-15,с 00.00 до 24.00
Круглянский,2017-06-09,с 00.00 по 24.00
Круглянский,2017-06-10,с 00.00 по 24.00
Круглянский,2017-02-04,с 00.00 по 24.00
Круглянский,2017-09-01,с 00.00 по 24.00
Осиповичский,2017-02-16,с 00.00 по 24.00
Осиповичский,2017-03-16,с 00.00 по 24.00
Осиповичский,2017-04-20,с 00.00 по 24.00
Осиповичский,2017-05-31,с 00.00 по 24.00
Осиповичский,2017-06-10,с 00.00 по 24.00
Осиповичский,2017-06-11,с 00.00 по 24.00
Осиповичский,2017-09-01,с 00.00 по 24.00
Осиповичский,2017-10-19,с 00.00 по 24.00
Осиповичский,2017-11-16,с 00.00 по 24.00
Осиповичский,2017-12-21,с 00.00 по 24.00
Глусский,2017-02-16,с 00.00 до 24.00
Глусский,2017-05-18,с 00.00 до 24.00
Глусский,2017-08-17,с 00.00 до 24.00
Глусский,2017-11-16,с 00.00 до 24.00
Дрибинский,2017-03-31,с 00.00 по 24.00
Дрибинский,2017-09-01,с 00.00 по 24.00
Дрибинский,2017-12-15,с 00.00 по 24.00
Бобруйский,2017-03-16,с 00.00 по 24.00
Бобруйский,2017-09-01,с 00.00 по 24.00
Бобруйский,2017-11-16,с 00.00 по 24.00
Лиозненский,2017-02-11,с 00.00 до 24.00
Лиозненский,2017-06-10,с 00.00 до 24.00
Лиозненский,2017-09-01,с 00.00 до 24.00
Лиозненский,2017-11-07,с 00.00 до 24.00
Браславский,2017-03-15,с 00.00 до 24.00
Браславский,2017-06-25,с 00.00 до 24.00
Браславский,2017-11-07,с 00.00 до 24.00
Браславский,2017-06-09,с 00.00 до 24.00
Браславский,2017-06-10,с 00.00 до 24.00
Браславский,2017-09-01,с 00.00 до 24.00
Миорский,2017-03-15,с 00.00 до 24.00
Миорский,2017-09-01,с 00.00 до 24.00
Миорский,2017-05-30,с 00.00 до 24.00
Миорский,2017-11-23,с 00.00 до 24.00
Миорский,2017-06-09,с 17.00 до 24.00
Бобруйск,2017-03-16,с 00.00 по 24.00
Бобруйск,2017-08-31,с 00.00 по 24.00
Бобруйск,2017-11-17,с 00.00 по 24.00
Буда-Кошелевский,2017-02-24,с 21.00 до 24.00
Буда-Кошелевский,2017-02-25,с 00.00 до 09.00
Буда-Кошелевский,2017-04-21,с 21.00 до 24.00
Буда-Кошелевский,2017-04-22,с 00.00 до 09.00
Буда-Кошелевский,2017-08-25,с 21.00 до 24.00
Буда-Кошелевский,2017-08-26,с 00.00 до 09.00
Буда-Кошелевский,2017-11-17,с 21.00 до 24.00
Буда-Кошелевский,2017-11-18,с 00.00 до 09.00
Каменецкий,2017-03-15,с 00.00 до 24.00
Каменецкий,2017-06-21,с 00.00 до 24.00
Каменецкий,2017-09-20,с 00.00 до 24.00
Каменецкий,2017-12-20,с 00.00 до 24.00
Житковичский,2017-03-30,с 00.00 до 24.00
Житковичский,2017-04-07,с 00.00 до 24.00
Житковичский,2017-05-15,с 00.00 до 24.00
Житковичский,2017-06-25,с 00.00 до 24.00
Житковичский,2017-07-19,с 00.00 до 24.00
Житковичский,2017-08-12,с 00.00 до 24.00
Житковичский,2017-09-01,с 00.00 до 24.00
Житковичский,2017-10-14,с 00.00 до 24.00
Житковичский,2017-11-20,с 00.00 до 24.00
Житковичский,2017-12-01,с 00.00 до 24.00
Краснопольский,2017-05-31,с 00.00 до 24.00
Краснопольский,2017-09-01,с 00.00 до 24.00
Краснопольский,2017-06-10,с 00.00 до 24.00
Горецкий,2017-06-01,с 00.00 до 24.00
Горецкий,2017-06-25,с 00.00 до 24.00
Горецкий,2017-09-01,с 00.00 до 24.00
Горецкий,2017-05-30,с 12.00 до 24.00
Горецкий,2017-05-31,с 12.00 до 24.00
Горецкий,2017-06-09,с 00.00 до 24.00
Климовичский,2017-05-30,с 08.00 до 23.00
Климовичский,2017-06-04,с 08.00 до 23.00
Климовичский,2017-06-09,с 08.00 до 23.00
Климовичский,2017-09-01,с 08.00 до 23.00
Климовичский,2017-10-03,с 08.00 до 23.00
Шумилинский,2017-03-24,с 00.00 до 24.00
Шумилинский,2017-06-10,с 00.00 до 24.00
Шумилинский,2017-09-01,с 00.00 до 24.00
Шумилинский,2017-12-01,с 00.00 до 24.00
Толочинский,2017-07-07,с 00.00 до 24.00
Толочинский,2017-08-19,с 00.00 до 24.00
Толочинский,2017-09-01,с 00.00 до 24.00
Толочинский,2017-06-01,с 00.00 до 24.00
Глубокский,2017-06-25,с 00.00 до 24.00
Глубокский,2017-09-01,с 00.00 до 24.00
Глубокский,2017-09-19,с 00.00 до 24.00
Глубокский,2017-10-14,с 00.00 до 24.00
Глубокский,2017-06-09,с 00.00 до 24.00
Глубокский,2017-06-10,с 00.00 до 24.00
Глубокский,2017-07-07,с 00.00 до 24.00
Толочинский,2017-06-09,с 00.00 до 24.00
Бешенковичский,2017-06-10,с 00.00 до 24.00
Бешенковичский,2017-09-01,с 00.00 до 24.00
Бешенковичский,2017-12-01,с 00.00 до 24.00
Шарковщинский,2017-05-30,с 00.00 по 24.00
Шарковщинский,2017-12-01,с 00.00 по 24.00
Шарковщинский,2017-06-09,с 00.00 по 24.00
Шарковщинский,2017-09-01,с 00.00 по 24.00
Оршанский,2017-05-30,с 00.00 до 24.00
Оршанский,2017-06-09,с 00.00 до 24.00
Оршанский,2017-06-10,с 00.00 до 08.00
Оршанский,2017-09-01,с 00.00 до 24.00
Оршанский,2017-12-15,с 00.00 до 24.00
Столинский,с 00.00 до 24.00,2017-05-30
Столинский,с 00.00 до 24.00,2017-05-31
Столинский,с 14.00 до 24.00,2017-06-09
Столинский,с 00.00 до 24.00,2017-09-01
Каменецкий,с 00.00 до 24.00,2017-06-09
Каменецкий,с 00.00 до 24.00,2017-06-10
Калинковичский,с 08.00 до 24.00,2017-05-30
Калинковичский,с 00.00 до 08.00,2017-05-31
Калинковичский,с 08.00 до 24.00,2017-06-09
Калинковичский,с 00.00 до 08.00,2017-06-10
Калинковичский,с 08.00 до 24.00,2017-09-01
Калинковичский,с 00.00 до 08.00,2017-09-02
Калинковичский,с 08.00 до 24.00,2017-10-14
Калинковичский,с 00.00 до 08.00,2017-10-15
Червенский,с 8.00 по 24.00,2017-06-09
Любанский,с 07.00 по 24.00,2017-06-09
Щучинский,с 16.00 до 24.00,2017-06-09
Щучинский,с 00.00 до 06.00 и с 16.00 до 24.00,2017-06-10
Верхнедвинский,с 00.00 до 24.00,2017-05-30
Верхнедвинский,с 00.00 до 24.00,2017-06-09
Верхнедвинский,с 00.00 до 24.00,2017-09-01
г. Витебск,с 15.00 до 24.00,2017-06-10
Дубровенский,с 00.00 до 24.00,2017-06-09
